src,tgt
77-51-30=,-4
75+77+50=,202
100-0+91=,191
76+47+66=,189
28+89-94=,23
10+91-52=,49
89-89-87=,-87
24-99+35=,-40
0+80+84=,164
15+61-23=,53
42+11+53=,106
41-29-58=,-46
90-6+10=,94
57-83+98=,72
3-69-91=,-157
38+35+73=,146
3-35-81=,-113
10-19-16=,-25
75+81+29=,185
55+10-32=,33
20+78-17=,81
27-88-22=,-83
14-32-86=,-104
48+28+20=,96
22-26-23=,-27
34+9-32=,11
81+83-63=,101
16+40-9=,47
4+99-25=,78
45+45-31=,59
80-66+59=,73
25-61-5=,-41
6+93-86=,13
16+84-48=,52
47+25-69=,3
37+23+0=,60
32-11-1=,20
59-7-33=,19
1+70-9=,62
79+32+23=,134
27+37-41=,23
25+51+92=,168
4+23-90=,-63
54-6+21=,69
96-66+96=,126
99-97-75=,-73
42+12+96=,150
86+63+29=,178
41-97+92=,36
7+45-27=,25
33+35-99=,-31
41-89-97=,-145
34+42+3=,79
76-59-23=,-6
67-90-45=,-68
61-46-57=,-42
24+99-96=,27
81-15+98=,164
29+13+20=,62
42-10+13=,45
44-27-46=,-29
68-100-66=,-98
88+9-99=,-2
75+43-78=,40
41-30+81=,92
44+46+5=,95
19-0-70=,-51
22+55+39=,116
72-42-60=,-30
37+61-54=,44
63-5-11=,47
48+41-53=,36
75+2-34=,43
18-81-22=,-85
6-87+88=,7
88+56+32=,176
64-11+82=,135
23-99-33=,-109
10+80+99=,189
14+96+95=,205
79+55-11=,123
53-75+66=,44
24+65+13=,102
11+37+86=,134
57-50+74=,81
82+81-53=,110
7+6-97=,-84
29-21+36=,44
43-93-27=,-77
19-65+92=,46
66-66+18=,18
49-13+100=,136
19+79+58=,156
59+57-28=,88
8-25+93=,76
46-68+15=,-7
29-68-8=,-47
26-59-58=,-91
30+20+83=,133
65-15+82=,132
94-53-81=,-40
13+92-81=,24
41-48-51=,-58
70+0-94=,-24
90+5+98=,193
98+91-35=,154
16-97+91=,10
78-42+3=,39
26+15+35=,76
88-17+66=,137
33-68-100=,-135
91-97-39=,-45
64-42-19=,3
92-91-10=,-9
14-65-7=,-58
58+61+70=,189
80-31-39=,10
59-49-33=,-23
93-78-75=,-60
89-71-38=,-20
23-27-29=,-33
93-87+93=,99
74+46+1=,121
17+68+23=,108
62-84-26=,-48
61+1-53=,9
12-65-29=,-82
60-41+31=,50
16-4+24=,36
9+8-85=,-68
47+92+53=,192
46+68+41=,155
31-16+42=,57
78+28+59=,165
61-6+74=,129
66+60+1=,127
48-7+57=,98
19+64-80=,3
46+4+14=,64
91-38+48=,101
87+9-35=,61
49+51+63=,163
66+83-45=,104
63+83+61=,207
87-73-83=,-69
37-91+8=,-46
60+44+94=,198
48-37-6=,5
47-2-36=,9
52+94+55=,201
4+11+36=,51
18-59-8=,-49
44-30-38=,-24
59+22+92=,173
6+51+71=,128
83-80+56=,59
20-13+32=,39
89+74-32=,131
67-23+56=,100
97+81-37=,141
80+44+63=,187
93-78+31=,46
38-11-83=,-56
30+63+87=,180
74-64-13=,-3
